"name","overallRating","responseRate","responseTime","revBased","numProierties","url","location","pID"
"Hidden Dunes Cottage 224","4.4 / 5.0","n/a","n/a","2,815","206","https://www.flipkey.com/miramar-beach-cottage-rentals/p353750/","Hidden Dunes Cottage 224            Miramar Beach, Florida","p353750"
"Trails End Condos 210 by Ski Country Resorts","4.1 / 5.0","100%","A few hours","1,386","158","https://www.flipkey.com/breckenridge-condo-rentals/p128204/","Trails End Condos 210 by Ski Country Resorts            Breckenridge, Colorado","p128204"
"Winterpoint Townhomes 37 by Ski Country Resorts","4.1 / 5.0","100%","A few hours","1,386","158","https://www.flipkey.com/breckenridge-vacation-rentals/p128236/","Winterpoint Townhomes 37 by Ski Country Resorts            Breckenridge, Colorado","p128236"
"Trinidad At Port-of-Call","4.4 / 5.0","n/a","n/a","2,815","206","https://www.flipkey.com/miramar-beach-vacation-rentals/p66053/","Trinidad At Port-of-Call            Miramar Beach, Florida","p66053"
"The Woods Townhomes 111 by Ski Country Resorts","4.1 / 5.0","100%","A few hours","1,386","158","https://www.flipkey.com/breckenridge-vacation-rentals/p1011203/","The Woods Townhomes 111 by Ski Country Resorts            Breckenridge, Colorado","p1011203"
"Costa Del Sol C5","4.4 / 5.0","n/a","n/a","2,815","206","https://www.flipkey.com/miramar-beach-cottage-rentals/p261810/","Costa Del Sol C5            Miramar Beach, Florida","p261810"
"Pali Ke Kua #241: Ocean  rates!","4.6 / 5.0","30%","Within a day","561","34","https://www.flipkey.com/princeville-condo-rentals/p29293/","Pali Ke Kua #241: Ocean  rates!            Princeville, Hawaii","p29293"
"Kauai Tree House: Beautiful Wainiha Home in Lush & Tropical Surroundings!","4.6 / 5.0","30%","Within a day","561","34","https://www.flipkey.com/hanalei-vacation-rentals/p340093/","Kauai Tree House: Beautiful Wainiha Home in Lush & Tropical Surroundings!            Hanalei, Hawaii","p340093"
"(51) Mia Mora","4.4 / 5.0","n/a","n/a","189","118","https://www.flipkey.com/wawona-vacation-rentals/p583229/","(51) Mia Mora            Wawona, California","p583229"
"Jade East Towers 0110","4.4 / 5.0","n/a","n/a","2,815","206","https://www.flipkey.com/destin-condo-rentals/p68338/","Jade East Towers 0110            Destin, Florida","p68338"
"Aspen Lodge by Ski Country Resorts","4.1 / 5.0","100%","A few hours","1,386","158","https://www.flipkey.com/breckenridge-vacation-rentals/p1461524/","Aspen Lodge by Ski Country Resorts            Breckenridge, Colorado","p1461524"
"Hidden Dunes Cottage 228","4.4 / 5.0","n/a","n/a","2,815","206","https://www.flipkey.com/miramar-beach-cottage-rentals/p468254/","Hidden Dunes Cottage 228            Miramar Beach, Florida","p468254"
"Dolphins Cottage","4.4 / 5.0","n/a","n/a","2,815","206","https://www.flipkey.com/destin-vacation-rentals/p29074/","Dolphins Cottage            Destin, Florida","p29074"
"Beach Resort 306","4.4 / 5.0","n/a","n/a","2,815","206","https://www.flipkey.com/miramar-beach-condo-rentals/p68289/","Beach Resort 306            Miramar Beach, Florida","p68289"
"Hidden Dunes Condominium 0604","4.4 / 5.0","n/a","n/a","2,815","206","https://www.flipkey.com/miramar-beach-condo-rentals/p290511/","Hidden Dunes Condominium 0604            Miramar Beach, Florida","p290511"
"St. Lucia at Silver Shells 1105","4.4 / 5.0","n/a","n/a","2,815","206","https://www.flipkey.com/destin-condo-rentals/p267081/","St. Lucia at Silver Shells 1105            Destin, Florida","p267081"
"Trails End Condos 315 by Ski Country Resorts","4.1 / 5.0","100%","A few hours","1,386","158","https://www.flipkey.com/breckenridge-condo-rentals/p128210/","Trails End Condos 315 by Ski Country Resorts            Breckenridge, Colorado","p128210"
"Trails End Condos 103 by Ski Country Resorts","4.1 / 5.0","100%","A few hours","1,386","158","https://www.flipkey.com/breckenridge-condo-rentals/p128197/","Trails End Condos 103 by Ski Country Resorts            Breckenridge, Colorado","p128197"
"DOG FRIENDLY Mid-Cape FOUR Bedroom GEM! 134341","4.5 / 5.0","n/a","n/a","181","568","https://www.flipkey.com/west-yarmouth-vacation-rentals/p2510068/","DOG FRIENDLY Mid-Cape FOUR Bedroom GEM! 134341            West Yarmouth, Massachusetts","p2510068"
"Chimney Ridge Townhomes 500 by Ski Country Resorts","4.1 / 5.0","100%","A few hours","1,386","158","https://www.flipkey.com/breckenridge-vacation-rentals/p126752/","Chimney Ridge Townhomes 500 by Ski Country Resorts            Breckenridge, Colorado","p126752"
"Makala'e: Luxurious 5 bed/5 bath Ocean View Villa!","4.6 / 5.0","30%","Within a day","561","34","https://www.flipkey.com/koloa-vacation-rentals/p609402/","Makala'e: Luxurious 5 bed/5 bath Ocean View Villa!            Koloa, Hawaii","p609402"
"Winterpoint Townhomes 44 by Ski Country Resorts","4.1 / 5.0","100%","A few hours","1,386","158","https://www.flipkey.com/breckenridge-vacation-rentals/p128240/","Winterpoint Townhomes 44 by Ski Country Resorts            Breckenridge, Colorado","p128240"
"Winterpoint Townhomes 33B by Ski Country Resorts","4.1 / 5.0","100%","A few hours","1,386","158","https://www.flipkey.com/breckenridge-condo-rentals/p250174/","Winterpoint Townhomes 33B by Ski Country Resorts            Breckenridge, Colorado","p250174"
"Hidden Dunes Condominium 1700","4.4 / 5.0","n/a","n/a","2,815","206","https://www.flipkey.com/miramar-beach-condo-rentals/p2120871/","Hidden Dunes Condominium 1700            Miramar Beach, Florida","p2120871"
"(23A) Big Cedar","4.4 / 5.0","n/a","n/a","189","118","https://www.flipkey.com/wawona-vacation-rentals/p359103/","(23A) Big Cedar            Wawona, California","p359103"
"Sanctuary at Redfish 3113","4.4 / 5.0","n/a","n/a","2,815","206","https://www.flipkey.com/santa-rosa-beach-condo-rentals/p1598029/","Sanctuary at Redfish 3113            Santa Rosa Beach, Florida","p1598029"
"60 Billingsgate Avenue 122925","4.5 / 5.0","n/a","n/a","181","568","https://www.flipkey.com/eastham-vacation-rentals/p803521/","60 Billingsgate Avenue 122925            Eastham, Massachusetts","p803521"
"Woodland Shores Townhome 27","4.4 / 5.0","n/a","n/a","2,815","206","https://www.flipkey.com/miramar-beach-cottage-rentals/p385241/","Woodland Shores Townhome 27            Miramar Beach, Florida","p385241"
"Chateau La Mer 1204","4.4 / 5.0","n/a","n/a","2,815","206","https://www.flipkey.com/destin-condo-rentals/p1910517/","Chateau La Mer 1204            Destin, Florida","p1910517"
"Powderhorn Condos C304 by Ski Country Resorts","4.1 / 5.0","100%","A few hours","1,386","158","https://www.flipkey.com/breckenridge-condo-rentals/p126802/","Powderhorn Condos C304 by Ski Country Resorts            Breckenridge, Colorado","p126802"
"Longbranch 215 by Ski Country Resorts","4.1 / 5.0","100%","A few hours","1,386","158","https://www.flipkey.com/breckenridge-condo-rentals/p31246/","Longbranch 215 by Ski Country Resorts            Breckenridge, Colorado","p31246"
"Waipouli #G-404: Enjoy tranquil sounds of Hawaii's Ocean from every room!","4.6 / 5.0","30%","Within a day","561","34","https://www.flipkey.com/kapaa-condo-rentals/p29309/","Waipouli #G-404: Enjoy tranquil sounds of Hawaii's Ocean from every room!            Kapaa, Hawaii","p29309"
"Jade East Towers 0310","4.4 / 5.0","n/a","n/a","2,815","206","https://www.flipkey.com/destin-condo-rentals/p68344/","Jade East Towers 0310            Destin, Florida","p68344"
"Mainridge Townhomes D by Ski Country Resorts","4.1 / 5.0","100%","A few hours","1,386","158","https://www.flipkey.com/breckenridge-vacation-rentals/p31248/","Mainridge Townhomes D by Ski Country Resorts            Breckenridge, Colorado","p31248"
"Pu'u Poa #305: Amazing Ocean Views. Watch the sun set in the Bali Hai Coast!","4.6 / 5.0","30%","Within a day","561","34","https://www.flipkey.com/princeville-condo-rentals/p29291/","Pu'u Poa #305: Amazing Ocean Views. Watch the sun set in the Bali Hai Coast!            Princeville, Hawaii","p29291"
"Tannenbaum by the River 304 by Ski Country Resorts","4.1 / 5.0","100%","A few hours","1,386","158","https://www.flipkey.com/breckenridge-condo-rentals/p128180/","Tannenbaum by the River 304 by Ski Country Resorts            Breckenridge, Colorado","p128180"
"Hudson's Blenheim House","4.4 / 5.0","n/a","n/a","2,815","206","https://www.flipkey.com/destin-vacation-rentals/p66033/","Hudson's Blenheim House            Destin, Florida","p66033"
"Martins on the River - Relax and enjoy this Log Cabin nestled in the Pines","4.5 / 5.0","n/a","n/a","278","68","https://www.flipkey.com/mccall-cabin-rentals/p27925/","Martins on the River - Relax and enjoy this Log Cabin nestled in the Pines            McCall, Idaho","p27925"
"Pavilion Palms 104C","4.4 / 5.0","n/a","n/a","2,815","206","https://www.flipkey.com/miramar-beach-condo-rentals/p66039/","Pavilion Palms 104C            Miramar Beach, Florida","p66039"
"Comfortable Aspens Condo, walk to Downtown and beach.","4.5 / 5.0","n/a","n/a","278","68","https://www.flipkey.com/mccall-condo-rentals/p27888/","Comfortable Aspens Condo, walk to Downtown and beach.            McCall, Idaho","p27888"
"Jade East Towers 1950","4.4 / 5.0","n/a","n/a","2,815","206","https://www.flipkey.com/destin-condo-rentals/p66036/","Jade East Towers 1950            Destin, Florida","p66036"
"Seamist Townhomes 6","4.4 / 5.0","n/a","n/a","2,815","206","https://www.flipkey.com/miramar-beach-cottage-rentals/p28921/","Seamist Townhomes 6            Miramar Beach, Florida","p28921"
"Park Meadows Lodge 3B by Ski Country Resorts","4.1 / 5.0","100%","A few hours","1,386","158","https://www.flipkey.com/breckenridge-condo-rentals/p126814/","Park Meadows Lodge 3B by Ski Country Resorts            Breckenridge, Colorado","p126814"
"Hidden Dunes Cottage 155","4.4 / 5.0","n/a","n/a","2,815","206","https://www.flipkey.com/miramar-beach-cottage-rentals/p429260/","Hidden Dunes Cottage 155            Miramar Beach, Florida","p429260"
"Beach Resort 407","4.4 / 5.0","n/a","n/a","2,815","206","https://www.flipkey.com/miramar-beach-condo-rentals/p68293/","Beach Resort 407            Miramar Beach, Florida","p68293"
"(35) Cubby's Den","4.4 / 5.0","n/a","n/a","189","118","https://www.flipkey.com/wawona-vacation-rentals/p583202/","(35) Cubby's Den            Wawona, California","p583202"
"Banyan Harbor #F70: Nestled on a hillside overlooking Kalapaki Bay!","4.6 / 5.0","30%","Within a day","561","34","https://www.flipkey.com/lihue-condo-rentals/p1072512/","Banyan Harbor #F70: Nestled on a hillside overlooking Kalapaki Bay!            Lihue, Hawaii","p1072512"
"Wiese Mountain Retreat by Ski Country Resorts","4.1 / 5.0","100%","A few hours","1,386","158","https://www.flipkey.com/breckenridge-vacation-rentals/p612138/","Wiese Mountain Retreat by Ski Country Resorts            Breckenridge, Colorado","p612138"
"Beachside Inn - 2 Queen Beds","4.4 / 5.0","n/a","n/a","2,815","206","https://www.flipkey.com/destin-vacation-rentals/p68312/","Beachside Inn - 2 Queen Beds            Destin, Florida","p68312"
"Park Meadows Lodge 1D by Ski Country Resorts","4.1 / 5.0","100%","A few hours","1,386","158","https://www.flipkey.com/breckenridge-condo-rentals/p126809/","Park Meadows Lodge 1D by Ski Country Resorts            Breckenridge, Colorado","p126809"
"Hidden Dunes Cottage 181","4.4 / 5.0","n/a","n/a","2,815","206","https://www.flipkey.com/miramar-beach-cottage-rentals/p261811/","Hidden Dunes Cottage 181            Miramar Beach, Florida","p261811"
"Park Meadows Lodge 5D by Ski Country Resorts","4.1 / 5.0","100%","A few hours","1,386","158","https://www.flipkey.com/breckenridge-condo-rentals/p128146/","Park Meadows Lodge 5D by Ski Country Resorts            Breckenridge, Colorado","p128146"
"(78) Ox Yoke","4.4 / 5.0","n/a","n/a","189","118","https://www.flipkey.com/wawona-vacation-rentals/p583252/","(78) Ox Yoke            Wawona, California","p583252"
"Beachside Inn - 2 Queen Beds","4.4 / 5.0","n/a","n/a","2,815","206","https://www.flipkey.com/destin-vacation-rentals/p68313/","Beachside Inn - 2 Queen Beds            Destin, Florida","p68313"
"Beach Resort 316","4.4 / 5.0","n/a","n/a","2,815","206","https://www.flipkey.com/miramar-beach-condo-rentals/p68292/","Beach Resort 316            Miramar Beach, Florida","p68292"
"Secluded Payette River Estate home with large yard and private hot tub.","4.5 / 5.0","n/a","n/a","278","68","https://www.flipkey.com/mccall-cabin-rentals/p143948/","Secluded Payette River Estate home with large yard and private hot tub.            McCall, Idaho","p143948"
"(40R) McCray's Retreat","4.4 / 5.0","n/a","n/a","189","118","https://www.flipkey.com/wawona-vacation-rentals/p583211/","(40R) McCray's Retreat            Wawona, California","p583211"
"Christiana Townhomes 5 by Ski Country Resorts","4.1 / 5.0","100%","A few hours","1,386","158","https://www.flipkey.com/breckenridge-vacation-rentals/p126742/","Christiana Townhomes 5 by Ski Country Resorts            Breckenridge, Colorado","p126742"
"Blue Surf Townhomes 04","4.4 / 5.0","n/a","n/a","2,815","206","https://www.flipkey.com/miramar-beach-cottage-rentals/p68318/","Blue Surf Townhomes 04            Miramar Beach, Florida","p68318"
"Cedars Townhomes 23 by Ski Country Resorts","4.1 / 5.0","100%","A few hours","1,386","158","https://www.flipkey.com/breckenridge-vacation-rentals/p126740/","Cedars Townhomes 23 by Ski Country Resorts            Breckenridge, Colorado","p126740"
"(11) Shangri la-de-da","4.4 / 5.0","n/a","n/a","189","118","https://www.flipkey.com/wawona-vacation-rentals/p583160/","(11) Shangri la-de-da            Wawona, California","p583160"
"2 Jay Dee Lane 43422","4.5 / 5.0","n/a","n/a","181","568","https://www.flipkey.com/eastham-vacation-rentals/p184552/","2 Jay Dee Lane 43422            Eastham, Massachusetts","p184552"
"St. Lucia at Silver Shells 604","4.4 / 5.0","n/a","n/a","2,815","206","https://www.flipkey.com/destin-condo-rentals/p752388/","St. Lucia at Silver Shells 604            Destin, Florida","p752388"
"(65) Sparrow's Nest","4.4 / 5.0","n/a","n/a","189","118","https://www.flipkey.com/wawona-vacation-rentals/p359129/","(65) Sparrow's Nest            Wawona, California","p359129"
"San Remo Condominium 303","4.4 / 5.0","n/a","n/a","2,815","206","https://www.flipkey.com/santa-rosa-beach-condo-rentals/p353020/","San Remo Condominium 303            Santa Rosa Beach, Florida","p353020"
"Tyra Lookout 14 by Ski Country Resorts","4.1 / 5.0","100%","A few hours","1,386","158","https://www.flipkey.com/breckenridge-condo-rentals/p128228/","Tyra Lookout 14 by Ski Country Resorts            Breckenridge, Colorado","p128228"
"Mainridge Townhomes A by Ski Country Resorts","4.1 / 5.0","100%","A few hours","1,386","158","https://www.flipkey.com/breckenridge-vacation-rentals/p326978/","Mainridge Townhomes A by Ski Country Resorts            Breckenridge, Colorado","p326978"
"(7N) Miller's Landing","4.4 / 5.0","n/a","n/a","189","118","https://www.flipkey.com/wawona-vacation-rentals/p583255/","(7N) Miller's Landing            Wawona, California","p583255"
"(55) Deer Creek","4.4 / 5.0","n/a","n/a","189","118","https://www.flipkey.com/wawona-vacation-rentals/p583234/","(55) Deer Creek            Wawona, California","p583234"
"Waipouli  #E-406: Penthouse Ocean view 1bdr/2bath Suite","4.6 / 5.0","30%","Within a day","561","34","https://www.flipkey.com/kapaa-condo-rentals/p58935/","Waipouli  #E-406: Penthouse Ocean view 1bdr/2bath Suite            Kapaa, Hawaii","p58935"
"(4) Pine Creek Cabin","4.4 / 5.0","n/a","n/a","189","118","https://www.flipkey.com/wawona-vacation-rentals/p583209/","(4) Pine Creek Cabin            Wawona, California","p583209"
"(92R) Mariposa Heights","4.4 / 5.0","n/a","n/a","189","118","https://www.flipkey.com/wawona-vacation-rentals/p359207/","(92R) Mariposa Heights            Wawona, California","p359207"
"Ski Country Penthouse 4 by Ski Country Resorts","4.1 / 5.0","100%","A few hours","1,386","158","https://www.flipkey.com/breckenridge-condo-rentals/p188569/","Ski Country Penthouse 4 by Ski Country Resorts            Breckenridge, Colorado","p188569"
"Ski Country Penthouse 3 by Ski Country Resorts","4.1 / 5.0","100%","A few hours","1,386","158","https://www.flipkey.com/breckenridge-condo-rentals/p171473/","Ski Country Penthouse 3 by Ski Country Resorts            Breckenridge, Colorado","p171473"
"Waipouli #D-309: 2bdr/3bath city view condo with amenities","4.6 / 5.0","30%","Within a day","561","34","https://www.flipkey.com/kapaa-condo-rentals/p29308/","Waipouli #D-309: 2bdr/3bath city view condo with amenities            Kapaa, Hawaii","p29308"
"Beachside Inn - 2 Queen Beds","4.4 / 5.0","n/a","n/a","2,815","206","https://www.flipkey.com/destin-vacation-rentals/p68305/","Beachside Inn - 2 Queen Beds            Destin, Florida","p68305"
"Pali Ke Kua #103: Extraordinary Bali Hai Sunset Views!","4.6 / 5.0","30%","Within a day","561","34","https://www.flipkey.com/princeville-condo-rentals/p922632/","Pali Ke Kua #103: Extraordinary Bali Hai Sunset Views!            Princeville, Hawaii","p922632"
"Beachside Inn - 1 King Bed","4.4 / 5.0","n/a","n/a","2,815","206","https://www.flipkey.com/destin-vacation-rentals/p68300/","Beachside Inn - 1 King Bed            Destin, Florida","p68300"
"Pine Creek Townhomes J by Ski Country Resorts","4.1 / 5.0","100%","A few hours","1,386","158","https://www.flipkey.com/breckenridge-vacation-rentals/p126800/","Pine Creek Townhomes J by Ski Country Resorts            Breckenridge, Colorado","p126800"
"Hidden Dunes Villa 45","4.4 / 5.0","n/a","n/a","2,815","206","https://www.flipkey.com/miramar-beach-condo-rentals/p613316/","Hidden Dunes Villa 45            Miramar Beach, Florida","p613316"
"(37) Wapiti","4.4 / 5.0","n/a","n/a","189","118","https://www.flipkey.com/wawona-vacation-rentals/p359214/","(37) Wapiti            Wawona, California","p359214"
"Raymond (Gill) 78930","4.5 / 5.0","n/a","n/a","181","568","https://www.flipkey.com/eastham-vacation-rentals/p184653/","Raymond (Gill) 78930            Eastham, Massachusetts","p184653"
"Park Meadows Lodge 2C by Ski Country Resorts","4.1 / 5.0","100%","A few hours","1,386","158","https://www.flipkey.com/breckenridge-condo-rentals/p126812/","Park Meadows Lodge 2C by Ski Country Resorts            Breckenridge, Colorado","p126812"
"36 Collins Lane 114103","4.5 / 5.0","n/a","n/a","181","568","https://www.flipkey.com/orleans-vacation-rentals/p472896/","36 Collins Lane 114103            Orleans, Massachusetts","p472896"
"(39) River Song","4.4 / 5.0","n/a","n/a","189","118","https://www.flipkey.com/wawona-vacation-rentals/p583205/","(39) River Song            Wawona, California","p583205"
"(54) Finster's Treehouse","4.4 / 5.0","n/a","n/a","189","118","https://www.flipkey.com/wawona-vacation-rentals/p583233/","(54) Finster's Treehouse            Wawona, California","p583233"
"Lake Street Cottage walk to Public Beach or Ponderosa State Park.","4.5 / 5.0","n/a","n/a","278","68","https://www.flipkey.com/mccall-cabin-rentals/p27894/","Lake Street Cottage walk to Public Beach or Ponderosa State Park.            McCall, Idaho","p27894"
"Waipouli #C-105: Deluxe Condo at Ocean Front Resort With Garden Views","4.6 / 5.0","30%","Within a day","561","34","https://www.flipkey.com/kapaa-condo-rentals/p29310/","Waipouli #C-105: Deluxe Condo at Ocean Front Resort With Garden Views            Kapaa, Hawaii","p29310"
"Tannenbaum by the River 301 by Ski Country Resorts","4.1 / 5.0","100%","A few hours","1,386","158","https://www.flipkey.com/breckenridge-condo-rentals/p128178/","Tannenbaum by the River 301 by Ski Country Resorts            Breckenridge, Colorado","p128178"
"Jewel in the Sand","4.4 / 5.0","n/a","n/a","2,815","206","https://www.flipkey.com/destin-vacation-rentals/p1910531/","Jewel in the Sand            Destin, Florida","p1910531"
"Trails End Condos 203 by Ski Country Resorts","4.1 / 5.0","100%","A few hours","1,386","158","https://www.flipkey.com/breckenridge-condo-rentals/p143907/","Trails End Condos 203 by Ski Country Resorts            Breckenridge, Colorado","p143907"
"Trails End Condos 304 by Ski Country Resorts","4.1 / 5.0","100%","A few hours","1,386","158","https://www.flipkey.com/breckenridge-condo-rentals/p292986/","Trails End Condos 304 by Ski Country Resorts            Breckenridge, Colorado","p292986"
"Summerspell Condominium 206","4.4 / 5.0","n/a","n/a","2,815","206","https://www.flipkey.com/miramar-beach-condo-rentals/p969285/","Summerspell Condominium 206            Miramar Beach, Florida","p969285"
"Trails End Condos 502 by Ski Country Resorts","4.1 / 5.0","100%","A few hours","1,386","158","https://www.flipkey.com/breckenridge-condo-rentals/p128215/","Trails End Condos 502 by Ski Country Resorts            Breckenridge, Colorado","p128215"
"Mediterranea 512D","4.4 / 5.0","n/a","n/a","2,815","206","https://www.flipkey.com/miramar-beach-condo-rentals/p68382/","Mediterranea 512D            Miramar Beach, Florida","p68382"
"Beachside Inn - 2 Queen Beds","4.4 / 5.0","n/a","n/a","2,815","206","https://www.flipkey.com/destin-vacation-rentals/p68307/","Beachside Inn - 2 Queen Beds            Destin, Florida","p68307"
"Grand Caribbean West 314","4.4 / 5.0","n/a","n/a","2,815","206","https://www.flipkey.com/destin-condo-rentals/p967190/","Grand Caribbean West 314            Destin, Florida","p967190"
"Four O'clock Chalet by Ski Country Resorts","4.1 / 5.0","100%","A few hours","1,386","158","https://www.flipkey.com/breckenridge-vacation-rentals/p31228/","Four O'clock Chalet by Ski Country Resorts            Breckenridge, Colorado","p31228"
"Beachside Inn - 2 Queen Beds","4.4 / 5.0","n/a","n/a","2,815","206","https://www.flipkey.com/destin-vacation-rentals/p68304/","Beachside Inn - 2 Queen Beds            Destin, Florida","p68304"
"Family Style Condo with Sports Club Amenities.","4.5 / 5.0","n/a","n/a","278","68","https://www.flipkey.com/mccall-condo-rentals/p27922/","Family Style Condo with Sports Club Amenities.            McCall, Idaho","p27922"
"Base Nine Condos A102 by Ski Country Resorts","4.1 / 5.0","100%","A few hours","1,386","158","https://www.flipkey.com/breckenridge-condo-rentals/p31193/","Base Nine Condos A102 by Ski Country Resorts            Breckenridge, Colorado","p31193"
"Double Eagle Condos B21 by Ski Country Resorts","4.1 / 5.0","100%","A few hours","1,386","158","https://www.flipkey.com/breckenridge-condo-rentals/p261616/","Double Eagle Condos B21 by Ski Country Resorts            Breckenridge, Colorado","p261616"
"Beach Retreat 407","4.4 / 5.0","n/a","n/a","2,815","206","https://www.flipkey.com/miramar-beach-condo-rentals/p68410/","Beach Retreat 407            Miramar Beach, Florida","p68410"
"Beachside Inn - 2 Queen Beds","4.4 / 5.0","n/a","n/a","2,815","206","https://www.flipkey.com/destin-vacation-rentals/p68299/","Beachside Inn - 2 Queen Beds            Destin, Florida","p68299"
"Trails End Condos 102 by Ski Country Resorts","4.1 / 5.0","100%","A few hours","1,386","158","https://www.flipkey.com/breckenridge-condo-rentals/p128196/","Trails End Condos 102 by Ski Country Resorts            Breckenridge, Colorado","p128196"
"(23B) Robin's Nest","4.4 / 5.0","n/a","n/a","189","118","https://www.flipkey.com/wawona-vacation-rentals/p583185/","(23B) Robin's Nest            Wawona, California","p583185"
"Quiet Surf Townhomes II #4","4.4 / 5.0","n/a","n/a","2,815","206","https://www.flipkey.com/miramar-beach-cottage-rentals/p68386/","Quiet Surf Townhomes II #4            Miramar Beach, Florida","p68386"
"Mediterranea 504B","4.4 / 5.0","n/a","n/a","2,815","206","https://www.flipkey.com/miramar-beach-condo-rentals/p68381/","Mediterranea 504B            Miramar Beach, Florida","p68381"
"Sawmill Creek Condos 215 by Ski Country Resorts","4.1 / 5.0","100%","A few hours","1,386","158","https://www.flipkey.com/breckenridge-condo-rentals/p171471/","Sawmill Creek Condos 215 by Ski Country Resorts            Breckenridge, Colorado","p171471"
"Pelican Perch","4.4 / 5.0","n/a","n/a","2,815","206","https://www.flipkey.com/destin-vacation-rentals/p265579/","Pelican Perch            Destin, Florida","p265579"
"Beachside Inn - 2 Queen Beds","4.4 / 5.0","n/a","n/a","2,815","206","https://www.flipkey.com/destin-vacation-rentals/p68315/","Beachside Inn - 2 Queen Beds            Destin, Florida","p68315"
"Blue Surf Townhomes 15B","4.4 / 5.0","n/a","n/a","2,815","206","https://www.flipkey.com/miramar-beach-cottage-rentals/p66017/","Blue Surf Townhomes 15B            Miramar Beach, Florida","p66017"
"(18A) Pohono Pines","4.4 / 5.0","n/a","n/a","189","118","https://www.flipkey.com/wawona-vacation-rentals/p583174/","(18A) Pohono Pines            Wawona, California","p583174"
"Trails End Condos 406 by Ski Country Resorts","4.1 / 5.0","100%","A few hours","1,386","158","https://www.flipkey.com/breckenridge-condo-rentals/p128213/","Trails End Condos 406 by Ski Country Resorts            Breckenridge, Colorado","p128213"
"Beachside Inn - 1 King Bed","4.4 / 5.0","n/a","n/a","2,815","206","https://www.flipkey.com/destin-vacation-rentals/p68303/","Beachside Inn - 1 King Bed            Destin, Florida","p68303"
"Beach Resort 515","4.4 / 5.0","n/a","n/a","2,815","206","https://www.flipkey.com/miramar-beach-condo-rentals/p66018/","Beach Resort 515            Miramar Beach, Florida","p66018"
"Park Meadows Lodge 5A by Ski Country Resorts","4.1 / 5.0","100%","A few hours","1,386","158","https://www.flipkey.com/breckenridge-condo-rentals/p128143/","Park Meadows Lodge 5A by Ski Country Resorts            Breckenridge, Colorado","p128143"
"11 Surf Boat Lane 18338","4.5 / 5.0","n/a","n/a","181","568","https://www.flipkey.com/east-orleans-vacation-rentals/p184774/","11 Surf Boat Lane 18338            East Orleans, Massachusetts","p184774"
"Regency II #924: Executive Suite 3 bed/3bath spacious condo with A/C!","4.6 / 5.0","30%","Within a day","561","34","https://www.flipkey.com/koloa-condo-rentals/p29277/","Regency II #924: Executive Suite 3 bed/3bath spacious condo with A/C!            Koloa, Hawaii","p29277"
"Sunset Dreams In Terra Cotta","4.4 / 5.0","n/a","n/a","2,815","206","https://www.flipkey.com/destin-vacation-rentals/p66068/","Sunset Dreams In Terra Cotta            Destin, Florida","p66068"
"MBC:1bdr /1 bath cottage, in lush jungle setting and just steps to the ocean!","4.6 / 5.0","30%","Within a day","561","34","https://www.flipkey.com/anahola-cottage-rentals/p330734/","MBC:1bdr /1 bath cottage, in lush jungle setting and just steps to the ocean!            Anahola, Hawaii","p330734"
"Seven Palms","4.4 / 5.0","n/a","n/a","2,815","206","https://www.flipkey.com/destin-vacation-rentals/p261812/","Seven Palms            Destin, Florida","p261812"
"The Retreat Condos 3 by Ski Country Resorts","4.1 / 5.0","100%","A few hours","1,386","158","https://www.flipkey.com/breckenridge-condo-rentals/p128159/","The Retreat Condos 3 by Ski Country Resorts            Breckenridge, Colorado","p128159"
"(15) Chipmunks Holiday","4.4 / 5.0","n/a","n/a","189","118","https://www.flipkey.com/wawona-vacation-rentals/p583168/","(15) Chipmunks Holiday            Wawona, California","p583168"
"Summer Breeze Condominium 110","4.4 / 5.0","n/a","n/a","2,815","206","https://www.flipkey.com/miramar-beach-condo-rentals/p68397/","Summer Breeze Condominium 110            Miramar Beach, Florida","p68397"
"Spacious Log Home on Golf Course with Private Hot tub.","4.5 / 5.0","n/a","n/a","278","68","https://www.flipkey.com/mccall-cabin-rentals/p27897/","Spacious Log Home on Golf Course with Private Hot tub.            McCall, Idaho","p27897"
"The White Heron 18082","4.5 / 5.0","n/a","n/a","181","568","https://www.flipkey.com/east-orleans-vacation-rentals/p333817/","The White Heron 18082            East Orleans, Massachusetts","p333817"
"Hidden Dunes Condominium 1504","4.4 / 5.0","n/a","n/a","2,815","206","https://www.flipkey.com/miramar-beach-condo-rentals/p196977/","Hidden Dunes Condominium 1504            Miramar Beach, Florida","p196977"
"Park Place Condos 301B by Ski Country Resorts","4.1 / 5.0","100%","A few hours","1,386","158","https://www.flipkey.com/breckenridge-condo-rentals/p126786/","Park Place Condos 301B by Ski Country Resorts            Breckenridge, Colorado","p126786"
"Hidden Dunes Condominium 0406","4.4 / 5.0","n/a","n/a","2,815","206","https://www.flipkey.com/miramar-beach-condo-rentals/p636713/","Hidden Dunes Condominium 0406            Miramar Beach, Florida","p636713"
"Hidden Dunes Cottage 218","4.4 / 5.0","n/a","n/a","2,815","206","https://www.flipkey.com/miramar-beach-cottage-rentals/p353751/","Hidden Dunes Cottage 218            Miramar Beach, Florida","p353751"
"Blue Surf Townhomes 11A","4.4 / 5.0","n/a","n/a","2,815","206","https://www.flipkey.com/miramar-beach-cottage-rentals/p68321/","Blue Surf Townhomes 11A            Miramar Beach, Florida","p68321"
